id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,99.20484161376953,1,,Total,1,Argentina,Argentina,Individuos que asisten al nivel primario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,99.32111358642578,2,,Género,4,Argentina,Argentina,Individuos que asisten al nivel primario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,99.09087371826172,3,,Género,4,Argentina,Argentina,Individuos que asisten al nivel primario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,.2302354127168655,4,.32152012,Brecha mujeres - hombres,5,Argentina,Argentina,Individuos que asisten al nivel primario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres en hogares con educación baja,ARG,,2000,99.14376068115234,6,,Calificación (mujeres),11,Argentina,Argentina,Individuos que asisten al nivel primario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres en hogares con educación media,ARG,,2000,99.31142425537109,7,,Calificación (mujeres),11,Argentina,Argentina,Individuos que asisten al nivel primario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres en hogares con educación alta,ARG,,2000,99.74042510986328,8,,Calificación (mujeres),11,Argentina,Argentina,Individuos que asisten al nivel primario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres en hogares con educación baja,ARG,,2000,98.27963256835938,9,,Calificación (hombres),12,Argentina,Argentina,Individuos que asisten al nivel primario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres en hogares con educación media,ARG,,2000,99.57035827636719,10,,Calificación (hombres),12,Argentina,Argentina,Individuos que asisten al nivel primario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres en hogares con educación alta,ARG,,2000,100,11,,Calificación (hombres),12,Argentina,Argentina,Individuos que asisten al nivel primario como porcentaje de la población en edad de asistir a ese nivel.,Tasa neta de escolarización primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
