id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres,ARG,,2013,3.957845449447632,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Horas semanales dedicadas al cuidado de niños y otros miembros dependientes del hogar.,Horas semanales dedicadas a actividades de cuidado,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres,CHL,,2015,2.543105840682983,26,,Ratio mujeres/hombres,6,Chile,Chile,Horas semanales dedicadas al cuidado de niños y otros miembros dependientes del hogar.,Horas semanales dedicadas a actividades de cuidado,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres,COL,,2012,5.611818313598633,26,,Ratio mujeres/hombres,6,Colombia,Colombia,Horas semanales dedicadas al cuidado de niños y otros miembros dependientes del hogar.,Horas semanales dedicadas a actividades de cuidado,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2016,Ratio mujeres/hombres,COL,,2016,4.713573455810547,26,,Ratio mujeres/hombres,6,Colombia,Colombia,Horas semanales dedicadas al cuidado de niños y otros miembros dependientes del hogar.,Horas semanales dedicadas a actividades de cuidado,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2004,Ratio mujeres/hombres,CRI,,2004,7.993188381195068,26,,Ratio mujeres/hombres,6,Costa Rica,Costa Rica,Horas semanales dedicadas al cuidado de niños y otros miembros dependientes del hogar.,Horas semanales dedicadas a actividades de cuidado,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2017,Ratio mujeres/hombres,CRI,,2017,3.921505212783814,26,,Ratio mujeres/hombres,6,Costa Rica,Costa Rica,Horas semanales dedicadas al cuidado de niños y otros miembros dependientes del hogar.,Horas semanales dedicadas a actividades de cuidado,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
DOM2016,Ratio mujeres/hombres,DOM,,2016,,26,,Ratio mujeres/hombres,6,República Dominicana,República Dominicana,Horas semanales dedicadas al cuidado de niños y otros miembros dependientes del hogar.,Horas semanales dedicadas a actividades de cuidado,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ECU2012,Ratio mujeres/hombres,ECU,,2012,6.242888450622559,26,,Ratio mujeres/hombres,6,Ecuador,Ecuador,Horas semanales dedicadas al cuidado de niños y otros miembros dependientes del hogar.,Horas semanales dedicadas a actividades de cuidado,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
GTM2011,Ratio mujeres/hombres,GTM,,2011,,26,,Ratio mujeres/hombres,6,Guatemala,Guatemala,Horas semanales dedicadas al cuidado de niños y otros miembros dependientes del hogar.,Horas semanales dedicadas a actividades de cuidado,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
GTM2014,Ratio mujeres/hombres,GTM,,2014,5.925231456756592,26,,Ratio mujeres/hombres,6,Guatemala,Guatemala,Horas semanales dedicadas al cuidado de niños y otros miembros dependientes del hogar.,Horas semanales dedicadas a actividades de cuidado,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
