id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres,ARG,,2013,,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres,CHL,,2015,2.814895391464233,26,,Ratio mujeres/hombres,6,Chile,Chile,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2012,Ratio mujeres/hombres,COL,,2012,5.596504211425781,26,,Ratio mujeres/hombres,6,Colombia,Colombia,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
COL2016,Ratio mujeres/hombres,COL,,2016,4.701942443847656,26,,Ratio mujeres/hombres,6,Colombia,Colombia,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2004,Ratio mujeres/hombres,CRI,,2004,,26,,Ratio mujeres/hombres,6,Costa Rica,Costa Rica,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CRI2017,Ratio mujeres/hombres,CRI,,2017,4.174944877624512,26,,Ratio mujeres/hombres,6,Costa Rica,Costa Rica,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
DOM2016,Ratio mujeres/hombres,DOM,,2016,,26,,Ratio mujeres/hombres,6,República Dominicana,República Dominicana,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ECU2012,Ratio mujeres/hombres,ECU,,2012,6.28447437286377,26,,Ratio mujeres/hombres,6,Ecuador,Ecuador,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
GTM2011,Ratio mujeres/hombres,GTM,,2011,7.125433444976807,26,,Ratio mujeres/hombres,6,Guatemala,Guatemala,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
GTM2014,Ratio mujeres/hombres,GTM,,2014,6.207583904266357,26,,Ratio mujeres/hombres,6,Guatemala,Guatemala,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
MEX2009,Ratio mujeres/hombres,MEX,,2009,4.755950927734375,26,,Ratio mujeres/hombres,6,México,México,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
MEX2014,Ratio mujeres/hombres,MEX,,2014,3.961093425750732,26,,Ratio mujeres/hombres,6,México,México,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
PER2010,Ratio mujeres/hombres,PER,,2010,3.960006237030029,26,,Ratio mujeres/hombres,6,Perú,Perú,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
PRY2016,Ratio mujeres/hombres,PRY,,2016,4.179423332214356,26,,Ratio mujeres/hombres,6,Paraguay,Paraguay,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
SLV2017,Ratio mujeres/hombres,SLV,,2017,3.139626502990723,26,,Ratio mujeres/hombres,6,El Salvador,El Salvador,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
URY2007,Ratio mujeres/hombres,URY,,2007,5.798222541809082,26,,Ratio mujeres/hombres,6,Uruguay,Uruguay,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
URY2013,Ratio mujeres/hombres,URY,,2013,2.540283918380737,26,,Ratio mujeres/hombres,6,Uruguay,Uruguay,Horas semanales dedicadas al cuidado de niños del hogar.,Horas semanales dedicadas a actividades de cuidado de niños,La población de referencia incluye a personas de 15 a 24 años en hogares con niños de 0 a 18 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
