id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,10.00507259368897,1,,Total,1,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,13.33576107025147,2,,Género,4,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,6.67552661895752,3,,Género,4,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,6.660234928131104,4,1.3121575,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujer,ARG,,2000,13.33576107025147,22,,Mujer,2,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombre,ARG,,2000,6.67552661895752,23,,Hombre,3,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Ratio mujeres/hombres,ARG,,2000,1.997709274291992,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,9.12888240814209,1,,Total,1,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres,ARG,,2001,11.73678398132324,2,,Género,4,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombres,ARG,,2001,6.453866958618164,3,,Género,4,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Brecha mujeres - hombres,ARG,,2001,5.282917022705078,4,1.2586576,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujer,ARG,,2001,11.73678398132324,22,,Mujer,2,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombre,ARG,,2001,6.453866958618164,23,,Hombre,3,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Ratio mujeres/hombres,ARG,,2001,1.818566203117371,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Total,ARG,,2002,9.659807205200195,1,,Total,1,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Mujeres,ARG,,2002,12.14686489105225,2,,Género,4,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Hombres,ARG,,2002,7.132484436035156,3,,Género,4,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Brecha mujeres - hombres,ARG,,2002,5.01438045501709,4,1.3437949,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Mujer,ARG,,2002,12.14686489105225,22,,Mujer,2,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Hombre,ARG,,2002,7.132484436035156,23,,Hombre,3,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2002,Ratio mujeres/hombres,ARG,,2002,1.703034162521362,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,Total,ARG,,2003,9.636818885803223,1,,Total,1,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,Mujeres,ARG,,2003,12.37525081634522,2,,Género,4,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2003,Hombres,ARG,,2003,6.89628267288208,3,,Género,4,Argentina,Argentina,Porcentaje de jóvenes de 15 a 24 años que son inactivos y no asisten a un establecimiento educativo.,Jóvenes fuera de la escuela y del mercado,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
