id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Total,ARG,,2000,94.19095611572266,1,,Total,1,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,96.08265686035156,2,,Género,4,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,92.43448638916016,3,,Género,4,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,3.648171186447144,4,1.3419386,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres en hogares con educación baja,ARG,,2000,93.09603118896484,6,,Calificación (mujeres),11,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres en hogares con educación media,ARG,,2000,97.95466613769531,7,,Calificación (mujeres),11,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres en hogares con educación alta,ARG,,2000,99.48415374755859,8,,Calificación (mujeres),11,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres en hogares con educación baja,ARG,,2000,87.48717498779297,9,,Calificación (hombres),12,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres en hogares con educación media,ARG,,2000,97.78096771240234,10,,Calificación (hombres),12,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres en hogares con educación alta,ARG,,2000,95.24069213867188,11,,Calificación (hombres),12,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujer,ARG,,2000,96.08265686035156,22,,Mujer,2,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombre,ARG,,2000,92.43448638916016,23,,Hombre,3,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Ratio mujeres/hombres,ARG,,2000,1.039467692375183,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Porcentaje que completó primaria entre los que tienen de 3 a 5 años más que la edad teórica de finalización.,Tasa de finalización de primaria,Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
